gamma,tau,alpha,lr,memory_size,batch_size,Average Reward
0.995,0.005,0.4,0.0003,1000000,64,-45.03439361213155
0.98,0.01,0.4,0.001,1000000,128,-112.12019423876295
0.995,0.01,0.3,0.0001,1000000,128,-80.18852690093506
0.995,0.005,0.4,0.001,1000000,64,-149.38460522114502
0.99,0.005,0.4,0.0001,1000000,128,-156.4433369799277
0.995,0.01,0.4,0.0001,1000000,128,-212.8356013121869
0.98,0.005,0.3,0.001,1000000,64,48.63273893178107
0.98,0.01,0.2,0.0003,1000000,128,-56.41292344382078
0.99,0.02,0.3,0.0003,1000000,128,-60.39927430829962
0.995,0.02,0.2,0.0001,1000000,128,-23.922418226687732
0.99,0.005,0.3,0.001,1000000,128,-120.04067202290629
0.995,0.02,0.3,0.001,1000000,128,-93.06371502061349
0.99,0.01,0.4,0.001,1000000,128,-22.754287264494234
0.98,0.01,0.2,0.0003,1000000,128,-115.80997139455692
0.995,0.005,0.3,0.001,1000000,128,-94.87798368906122
0.98,0.01,0.4,0.001,1000000,128,-111.69472132553838
0.995,0.005,0.4,0.0001,1000000,64,-106.2690566600284
0.99,0.005,0.2,0.0001,1000000,64,-165.79350236969015
0.99,0.005,0.4,0.001,1000000,64,-39.80375320374169
0.99,0.02,0.4,0.0003,1000000,64,-169.83157831753462
0.98,0.005,0.4,0.0001,1000000,128,-168.07480032151668
0.995,0.01,0.2,0.0001,1000000,128,-184.6741121950262
0.99,0.01,0.2,0.0003,1000000,64,-73.80756582000718
0.99,0.005,0.3,0.001,1000000,64,-48.17350763435483
0.98,0.005,0.2,0.0003,1000000,128,-155.61308768289877
0.98,0.02,0.3,0.0001,1000000,128,-89.83068940602585
0.98,0.01,0.2,0.0003,1000000,128,-81.02911747047027
0.99,0.02,0.2,0.0001,1000000,64,-109.30930440616515
0.995,0.01,0.4,0.0003,1000000,64,-14.243773330415511
0.99,0.01,0.4,0.001,1000000,128,69.14828909434804
0.99,0.01,0.4,0.0001,1000000,64,-161.24332708631036
0.98,0.005,0.3,0.0001,1000000,64,-139.55275277455513
0.98,0.005,0.2,0.001,1000000,64,-133.73500468478605
0.995,0.02,0.2,0.0003,1000000,64,-97.11375656011707
0.995,0.01,0.2,0.0001,1000000,128,-28.444324453739156
0.98,0.02,0.4,0.001,1000000,64,-560.1943635722662
0.995,0.02,0.3,0.001,1000000,128,-140.6669641271797
0.98,0.01,0.4,0.001,1000000,128,-109.71724552559616
0.995,0.02,0.2,0.0001,1000000,64,-138.33635373105835
0.99,0.02,0.2,0.0003,1000000,128,-25.986064192782823
0.995,0.005,0.2,0.0003,1000000,64,-99.23222126569044
0.99,0.02,0.4,0.001,1000000,128,-99.02052792171955
0.995,0.02,0.2,0.001,1000000,128,-90.1542013455328
0.99,0.005,0.4,0.0001,1000000,128,-119.49159014669605
0.99,0.02,0.4,0.0003,1000000,128,98.85994887742996
0.995,0.01,0.4,0.0003,1000000,64,-145.68727966777578
0.995,0.02,0.4,0.0003,1000000,128,-135.48157412877427
0.99,0.01,0.2,0.0003,1000000,128,-90.54577462748192
0.99,0.02,0.4,0.0001,1000000,128,-152.8299937403798
0.995,0.01,0.3,0.0001,1000000,64,-167.87460964403581
0.995,0.005,0.2,0.001,1000000,128,-61.4699487034027
0.99,0.02,0.2,0.001,1000000,128,11.226738577702598
0.99,0.02,0.2,0.0003,1000000,64,-85.39504994467124
0.98,0.02,0.4,0.0003,1000000,64,-44.19123302332823
0.99,0.01,0.2,0.001,1000000,128,-43.47520252955046
0.99,0.02,0.3,0.0003,1000000,128,-106.69958034878493
0.98,0.01,0.3,0.0003,1000000,64,-148.44359337437555
0.98,0.005,0.4,0.0001,1000000,64,-133.07410588696655
0.995,0.02,0.4,0.001,1000000,64,16.32303760860455
0.995,0.01,0.4,0.001,1000000,128,-66.10514061025113
